Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/05/15,Náutico,Criciúma,B,3
2,22/05/15,Mogi Mirim,Sampaio Corrêa,B,3
3,23/05/2015,Vasco da Gama,Internacional,A,3
4,23/05/15,Paraná,Boa,B,3
5,23/05/15,Paysandu,Ceará SC,B,3
6,23/05/2015,Grêmio,Figueirense,A,3
7,23/05/15,CRB,Bahia,B,3
8,23/05/15,Atlético-GO,Botafogo,B,3
9,23/05/2015,São Paulo,Joinville,A,3
10,23/05/15,ABC,Luverdense,B,3
11,24/05/2015,Sport Recife,Coritiba,A,3
12,24/05/2015,Chapecoense,Santos,A,3
13,24/05/2015,Cruzeiro,Ponte Preta,A,3
14,24/05/2015,Avaí,Flamengo,A,3
